,개방장소명,개방장소,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
신길1동주민센터,신길1동주민센터,신길,회의실,"토,일요일",9:00,18:00,0:00,0:00,Y,1,10000,1,,50,101,빔 프로젝트+강의용 책상 20+의자 40+무선MIC+화이트 보드,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S190402143512827302,서울특별시 영등포구 영등포로84길 24-5,,서울특별시 영등포구청,신길1동주민센터,02-2670-1245,37.511118,126.921433,2022-09-30
양평2동주민센터,양평2동주민센터,양평,다목적실,"토,일요일",9:00,18:00,0:00,0:00,Y,1,10000,1,5000,50,78,테이블 15+의자 30,방문,,서울특별시 영등포구 선유로47길 30,서울특별시 영등포구 양평동4가 96,서울특별시 영등포구청,양평2동주민센터,02-3457-7433,37.536501,126.894038,2022-09-30
양평2동주민센터,양평2동주민센터,양평,프로그램실,"토,일요일",9:00,18:00,0:00,0:00,Y,1,10000,1,5000,20,33,테이블 10+의자 20,방문,,서울특별시 영등포구 선유로47길 30,서울특별시 영등포구 양평동4가 96,서울특별시 영등포구청,양평2동주민센터,02-3457-7433,37.536501,126.894038,2022-09-30
양평1동주민센터,양평1동주민센터,양평,회의실,"토,일요일",10:00,22:00,0:00,0:00,Y,1,10000,1,,25,82,강의용테이블+의자+화이트보드+빔프로젝트,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210416172558392311,서울특별시 영등포구 양평동1가 영등포로11길 12 양평1동주민센터,서울특별시 영등포구 양평동1가 211-1,서울특별시 영등포구청,양평1동주민센터,02-2670-1198,37.523646,126.8885059,2022-09-30
문래동주민센터,문래동주민센터,문래,다목적실,"토, 일",10:00,18:00,0:00,0:00,Y,1,10000,1,,40,200,이동형책상+접이식 의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414105948188377,서울특별시 영등포구 문래로28길 15,,서울특별시 영등포구청,문래동주민센터,02-3457-7336,37.517111,126.899522,2022-09-30
문래동주민센터,문래동주민센터,문래,강의실,"토, 일",10:00,18:00,0:00,0:00,Y,1,10000,1,,15,50,이동형책상+접이식 의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414100634068758,서울특별시 영등포구 문래로28길 15,,서울특별시 영등포구청,문래동주민센터,02-3457-7336,37.517111,126.899522,2022-09-30
도림동주민센터,도림동주민센터,도림,회의실,일요일,9:00,22:00,9:00,17:00,Y,1,10000,1,,10,23,강의용테이블 1+의자 10,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201224133020574641,서울특별시 영등포구 도영로7길 10,,서울특별시 영등포구청,도림동주민센터,02-2670-1158,37.509424,126.895976,2022-09-30
도림동주민센터,도림동주민센터,도림,강의실,일요일,9:00,22:00,9:00,17:00,Y,1,10000,1,,50,124.3,강의용테이블 14+의자 80+앰프시설 1,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201224140828388288,서울특별시 영등포구 도영로7길 10,,서울특별시 영등포구청,도림동주민센터,02-2670-1158,37.509424,126.895976,2022-09-30
당산2동주민센터,당산2동주민센터,당산,강의실,토.일요일,9:00,18:00,0:00,0:00,Y,1,10000,1,,20,60.5,책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414155126922414,서울특별시 영등포구 당산로 235,,서울특별시 영등포구청,당산2동주민센터,02-2670-1134,37.53470865,126.902077,2022-09-30
당산2동주민센터,당산2동주민센터,당산,강당,토.일요일,9:00,18:00,0:00,0:00,Y,1,10000,1,,100,168.4,의자+빔프로젝트+마이크,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414151827846358,서울특별시 영등포구 당산로 235,,서울특별시 영등포구청,당산2동주민센터,02-2670-1134,37.53470865,126.902077,2022-09-30
당산2동주민센터,당산2동주민센터,당산,회의실,토.일요일,9:00,18:00,0:00,0:00,Y,1,10000,1,,40,72.9,책상+의자+화이트보드+빔프로젝트+마이크,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414155811132429,서울특별시 영등포구 당산로 235,,서울특별시 영등포구청,당산2동주민센터,02-2670-1134,37.53470865,126.902077,2022-09-30
당산1동주민센터,당산1동주민센터,당산,다목적실,토.일요일,13:00,18:00,0:00,0:00,Y,1,10000,1,,20,56,강의용책상 12+의자 36+화이트보드 1,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210412162744722951,서울특별시 영등포구 양산로23길 11 당산1동주민자치센터,서울특별시 영등포구 당산동3가 250,서울특별시 영등포구청,당산1동주민센터,02-2670-1117,37.525121,126.897451,2022-09-30
당산1동주민센터,당산1동주민센터,당산,다목적실,토.일요일,13:00,18:00,0:00,0:00,Y,1,10000,1,,40,112,강의용책상 15+의자 50+화이트보드 1,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210412164220161143,서울특별시 영등포구 양산로23길 11 당산1동주민자치센터,서울특별시 영등포구 당산동3가 250,서울특별시 영등포구청,당산1동주민센터,02-2670-1117,37.525121,126.897451,2022-09-30
여의동주민센터,여의동주민센터,여의,다목적실,토.일요일,9:00,20:00,0:00,0:00,Y,1,10000,1,,16,43.7,책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210413155232730303,서울특별시 영등포구 여의도동 국제금융로 124 여의동주민센터,서울특별시 영등포구 여의도동 53-22,서울특별시 영등포구청,여의동주민센터,02-2670-1084,37.517642,126.934614,2022-09-30
여의동주민센터,여의동주민센터,여의,다목적실,토.일요일,9:00,20:00,0:00,0:00,Y,1,10000,1,,16,75,책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210413160329487689,서울특별시 영등포구 여의도동 국제금융로 124 여의동주민센터,서울특별시 영등포구 여의도동 53-22,서울특별시 영등포구청,여의동주민센터,02-2670-1084,37.517642,126.934614,2022-09-30
여의동주민센터,여의동주민센터,여의,다목적실,토.일요일,9:00,20:00,0:00,0:00,Y,1,10000,1,,40,140,빔프로젝트+이동형책상+유선MIC+무선MIC+백보드,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S200220164258217765,서울특별시 영등포구 여의도동 국제금융로 124 여의동주민센터,서울특별시 영등포구 여의도동 53-22,서울특별시 영등포구청,여의동주민센터,02-2670-1084,37.517642,126.934614,2022-09-30
영등포동주민센터,영등포동주민센터,영등,다목적실,토.일요일,9:00,18:00,0:00,0:00,Y,1,10000,1,,30,93,책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S201007144339631449,서울특별시 영등포구 영등포로53길 22,서울특별시 영등포구 영등포동2가 222-2,서울특별시 영등포구청,영등포동주민센터,02-2670-1055,37.520349,126.910681,2022-09-30
영등포본동주민센터,영등포본동주민센터,영등,강의실,일요일,9:00,21:00,9:00,17:00,Y,1,10000,1,,10,13,책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210416094140450206,서울특별시 영등포구 신길로61길 17,서울특별시 영등포구 영등포동 592-70,서울특별시 영등포구청,영등포본동주민센터,02-2670-1026,37.514633,126.909331,2022-09-30
영등포본동주민센터,영등포본동주민센터,영등,강당,일요일,9:00,21:00,9:00,17:00,Y,1,10000,1,,50,282,책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210417150013633412,서울특별시 영등포구 신길로61길 17,서울특별시 영등포구 영등포동 592-70,서울특별시 영등포구청,영등포본동주민센터,02-2670-1026,37.514633,126.909331,2022-09-30
영등포본동주민센터,영등포본동주민센터,영등,다목적실,일요일,9:00,21:00,9:00,17:00,Y,1,10000,1,,30,75,빔프로젝트+유선마이크+이동형책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210417151508998776,서울특별시 영등포구 신길로61길 17,서울특별시 영등포구 영등포동 592-70,서울특별시 영등포구청,영등포본동주민센터,02-2670-1026,37.514633,126.909331,2022-09-30
대림3동주민센터,대림3동주민센터,대림,회의실,토.일요일,9:00,21:00,0:00,0:00,Y,1,10000,1,,30,179,칠판+프로젝트+마이크시설+탁자 15개+의자 50개,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210413174926134857,서울특별시 영등포구 대림로 197,,서울특별시 영등포구청,대림3동주민센터,02-2670-1426,37.49831352,126.8980344,2022-09-30
대림2동주민센터,대림2동주민센터,대림,강의실,일요일,9:00,12:00,9:00,12:00,Y,1,10000,1,,8,75,책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S141231135332946508,서울특별시 영등포구 대림로23길 25,서울특별시 영등포구 대림동 705,서울특별시 영등포구청,대림2동주민센터,02-2670-1405,37.49273981,126.898222,2022-09-30
대림2동주민센터,대림2동주민센터,대림,강의실,일요일,9:00,21:00,9:00,17:00,Y,1,10000,1,,10,40,책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210115143711738675&code=T500&dCode=&sch_order=1&sch_choose_list=&sch_type=&sch_text=EC9881EB93B1ED8FAC&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&sch_reqst_value=,서울특별시 영등포구 대림로23길 25,서울특별시 영등포구 대림동 705,서울특별시 영등포구청,대림2동주민센터,02-2670-1405,37.49273981,126.898222,2022-09-30
대림2동주민센터,대림2동주민센터,대림,강의실,일요일,9:00,21:00,12:00,17:00,Y,1,10000,1,,20,40,강의용 테이블 15개+의자 80개+화이트보드 1개+음향장비 1조,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210115144614224386&code=T500&dCode=&sch_order=1&sch_choose_list=&sch_type=&sch_text=EC9881EB93B1ED8FAC&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&sch_reqst_value=,서울특별시 영등포구 대림로23길 25,서울특별시 영등포구 대림동 705,서울특별시 영등포구청,대림2동주민센터,02-2670-1405,37.49273981,126.898222,2022-09-30
대림2동주민센터,대림2동주민센터,대림,회의실,일요일,10:00,21:00,12:00,17:00,Y,1,10000,1,,30,170,빔 프로젝트 1대+강의용 테이블 15개+의자 80개+화이트보드 1개+음향장비 1조,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210115141709577656&code=T500&dCode=&sch_order=1&sch_choose_list=&sch_type=&sch_text=EC9881EB93B1ED8FAC&sch_recpt_begin_dt=&sch_recpt_end_dt=&sch_use_begin_dt=&sch_use_end_dt=&sch_reqst_value=,서울특별시 영등포구 대림로23길 25,서울특별시 영등포구 대림동 705,서울특별시 영등포구청,대림2동주민센터,02-2670-1405,37.49273981,126.898222,2022-09-30
대림1동주민센터,대림1동주민센터,대림,다목적실,토.일요일,10:00,18:00,0:00,0:00,Y,1,10000,1,,30,65,빔프로젝트+이동형책상+유선MIC,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414091231551104,서울특별시 영등포구 디지털로 441,서울특별시 영등포구 대림동 899-2,서울특별시 영등포구청,대림1동주민센터,02-2670-1392,37.495462,126.905842,2022-09-30
가락본동주민센터,가락본동주민센터,가락,회의실,공휴일,16:00,18:00,10:00,14:00,N,,,,,20,70,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 송파대로 28길 39,,서울특별시 송파구청,,02-2147-4446,37.495554,127.121772,2020-02-20
가락본동주민센터,가락본동주민센터,가락,다목적실,공휴일,16:00,21:00,10:00,14:00,N,,,,,60,70,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 송파대로 28길 39,,서울특별시 송파구청,,02-2147-4446,37.495554,127.121772,2020-02-20
거여1동주민센터,거여1동주민센터,거여,다목적실,공휴일,14:00,21:00,10:00,14:00,N,,,,,50,154,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 오금로 53길 32,,서울특별시 송파구청,,02-2147-4066,37.496952,127.1433058,2020-02-20
거여1동주민센터,거여1동주민센터,거여,기타,공휴일,14:00,21:00,0:00,0:00,N,,,,,20,68,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 오금로 53길 32,,서울특별시 송파구청,,02-2147-4066,37.496952,127.1433058,2020-02-20
거여1동주민센터,거여1동주민센터,거여,회의실,공휴일,14:00,21:00,10:00,14:00,N,,,,,15,73,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 오금로 53길 32,,서울특별시 송파구청,,02-2147-4066,37.496952,127.1433058,2020-02-20
거여2동주민센터,거여2동주민센터,거여,강의실,공휴일,9:00,18:00,0:00,0:00,Y,2,"10,000",,,20,32,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 거마로 2길 19,,서울특별시 송파구청,,02-2147-4097,37.493513,127.146815,2020-02-20
거여2동주민센터,거여2동주민센터,거여,회의실,공휴일,9:00,18:00,0:00,0:00,Y,2,"10,000",,,15,35,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 거마로 2길 19,,서울특별시 송파구청,,02-2147-4097,37.493513,127.146815,2020-02-20
거여2동주민센터,거여2동주민센터,거여,강의실,공휴일,9:00,18:00,0:00,0:00,Y,2,"10,000",,,20,37,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 거마로 2길 19,,서울특별시 송파구청,,02-2147-4097,37.493513,127.146815,2020-02-20
마천1동주민센터,마천1동주민센터,마천,회의실,공휴일,18:00,20:00,10:00,14:00,N,,,,,10,39,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 마천로 303,,서울특별시 송파구청,,02-2147-4129,37.49600417,127.1499488,2020-02-20
마천1동주민센터,마천1동주민센터,마천,다목적실,공휴일,18:00,20:00,10:00,14:00,N,,,,,30,76,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 마천로 303,,서울특별시 송파구청,,02-2147-4129,37.49600417,127.1499488,2020-02-20
마천2동주민센터,마천2동주민센터,마천,회의실,공휴일,16:00,22:00,10:00,12:00,Y,2,"15,000",,,15,56,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 마천로 287,,서울특별시 송파구청,,02-2147-4156,37.496825,127.148539,2020-02-20
마천2동주민센터,마천2동주민센터,마천,기타,공휴일,12:00,22:00,10:00,12:00,Y,2,"15,000",,,20,46,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 마천로 287,,서울특별시 송파구청,,02-2147-4156,37.496825,127.148539,2020-02-20
마천2동주민센터,마천2동주민센터,마천,기타,공휴일,12:00,22:00,10:00,12:00,Y,2,"15,000",,,15,26,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 마천로 287,,서울특별시 송파구청,,02-2147-4156,37.496825,127.148539,2020-02-20
문정1동주민센터,문정1동주민센터,문정,기타,공휴일,9:00,18:00,0:00,0:00,Y,,"15,000~",,,20,65,"책상,의자",전화.방문,,서울특별시 송파구 동남로 116,,서울특별시 송파구청,,02-2147-4522,37.490049,127.124192,2020-02-20
문정1동주민센터,문정1동주민센터,문정,기타,공휴일,9:00,18:00,0:00,0:00,Y,,"15,000~",,,20,70,"책상,의자",전화.방문,,서울특별시 송파구 동남로 116,,서울특별시 송파구청,,02-2147-4522,37.490049,127.124192,2020-02-20
문정1동주민센터,문정1동주민센터,문정,다목적실,공휴일,9:00,18:00,0:00,0:00,Y,,"15,000~",,,50,117,"책상,의자",전화.방문,,서울특별시 송파구 동남로 116,,서울특별시 송파구청,,02-2147-4522,37.490049,127.124192,2020-02-20
문정1동주민센터,문정1동주민센터,문정,기타,공휴일,9:00,18:00,0:00,0:00,Y,,"15,000~",,,15,60,"책상,의자",전화.방문,,서울특별시 송파구 동남로 116,,서울특별시 송파구청,,02-2147-4522,37.490049,127.124192,2020-02-20
방이1동주민센터,방이1동주민센터,방이,다목적실,공휴일,9:00,20:00,0:00,0:00,N,,,,,50,174,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 위례성대로 16길 22,,서울특별시 송파구청,,02-2147-4192,37.51097662,127.123907,2020-02-20
방이1동주민센터,방이1동주민센터,방이,다목적실,공휴일,9:00,20:00,0:00,0:00,N,,,,,15,115,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 위례성대로 16길 22,,서울특별시 송파구청,,02-2147-4192,37.51097662,127.123907,2020-02-20
방이1동주민센터,방이1동주민센터,방이,다목적실,공휴일,9:00,20:00,0:00,0:00,N,,,,,15,73,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 위례성대로 16길 22,,서울특별시 송파구청,,02-2147-4192,37.51097662,127.123907,2020-02-20
방이2동주민센터,방이2동주민센터,방이,기타,공휴일,18:00,22:00,0:00,0:00,N,2,"15,000",,,25,68,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 백제고분로 495,,서울특별시 송파구청,,02-2147-4217,37.514518,127.1144307,2020-02-20
방이2동주민센터,방이2동주민센터,방이,다목적실,공휴일,18:00,22:00,0:00,0:00,N,2,"20,000",,,30,114,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 백제고분로 495,,서울특별시 송파구청,,02-2147-4217,37.514518,127.1144307,2020-02-20
삼전동주민센터,삼전동주민센터,삼전,강당,공휴일,18:00,18:00,0:00,0:00,N,,,,,20,50,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 백제고분로 236,,서울특별시 송파구청,,02-2147-4399,37.50272334,127.092518,2020-02-20
삼전동주민센터,삼전동주민센터,삼전,기타,공휴일,10:00,17:00,0:00,0:00,N,,,,,8,33,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 백제고분로 236,,서울특별시 송파구청,,02-2147-4399,37.50272334,127.092518,2020-02-20
삼전동주민센터,삼전동주민센터,삼전,다목적실,공휴일,18:00,18:00,0:00,0:00,N,,,,,70,187,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 백제고분로 236,,서울특별시 송파구청,,02-2147-4399,37.50272334,127.092518,2020-02-20
석촌동주민센터,석촌동주민센터,석촌,다목적실,공휴일,18:00,22:00,0:00,0:00,Y,2,"10,000",,,20,47,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 백제고분로37길 16,,서울특별시 송파구청,,02-2147-4369,37.503594,127.1036498,2020-02-20
석촌동주민센터,석촌동주민센터,석촌,강의실,공휴일,18:00,22:00,0:00,0:00,Y,2,"10,000",,,10,19,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 백제고분로37길 16,,서울특별시 송파구청,,02-2147-4369,37.503594,127.1036498,2020-02-20
석촌동주민센터,석촌동주민센터,석촌,기타,공휴일,18:00,22:00,0:00,0:00,Y,2,"10,000",,,20,23,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 백제고분로37길 16,,서울특별시 송파구청,,02-2147-4369,37.503594,127.1036498,2020-02-20
송파2동주민센터,송파2동주민센터,송파,강의실,공휴일,18:00,20:00,10:00,14:00,N,,,,,30,60,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 송이로32,,서울특별시 송파구청,,02-2147-4349,37.50231986,127.116744,2020-02-20
송파2동주민센터,송파2동주민센터,송파,다목적실,공휴일,18:00,20:00,10:00,14:00,N,,,,,55,83,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 송이로32,,서울특별시 송파구청,,02-2147-4349,37.50231986,127.116744,2020-02-20
송파2동주민센터,송파2동주민센터,송파,기타,공휴일,18:00,20:00,10:00,14:00,N,,,,,20,33,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 송이로32,,서울특별시 송파구청,,02-2147-4349,37.50231986,127.116744,2020-02-20
오금동주민센터,오금동주민센터,오금,기타,공휴일,18:00,22:00,0:00,0:00,N,,,,,15,93,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 중대로 25길 5,,서울특별시 송파구청,,02-2147-4277,37.5029581,127.128098,2020-02-20
오금동주민센터,오금동주민센터,오금,회의실,공휴일,10:00,18:00,0:00,0:00,N,,,,,20,63,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 중대로 25길 5,,서울특별시 송파구청,,02-2147-4277,37.5029581,127.128098,2020-02-20
오금동주민센터,오금동주민센터,오금,회의실,공휴일,13:00,18:00,0:00,0:00,N,,,,,30,25,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 중대로 25길 5,,서울특별시 송파구청,,02-2147-4277,37.5029581,127.128098,2020-02-20
잠실2동주민센터,잠실2동주민센터,잠실,회의실,공휴일,13:00,17:00,0:00,0:00,Y,2,"10,000",,,8,21.6,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 올림픽로 159,,서울특별시 송파구청,,02-2147-4641,37.511873,127.0885406,2020-02-20
잠실4동주민센터,잠실4동주민센터,잠실,다목적실,공휴일,18:00,22:00,10:00,14:00,Y,2,"20,000",,,100,183,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 올림픽로 35길 16,,서울특별시 송파구청,,02-2147-4697,37.52016411,127.112245,2020-02-20
잠실4동주민센터,잠실4동주민센터,잠실,회의실,공휴일,18:00,22:00,10:00,14:00,Y,2,"20,000",,,30,60,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 올림픽로 35길 16,,서울특별시 송파구청,,02-2147-4697,37.52016411,127.112245,2020-02-20
잠실4동주민센터,잠실4동주민센터,잠실,회의실,공휴일,18:00,22:00,10:00,14:00,Y,2,"20,000",,,30,71,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 올림픽로 35길 16,,서울특별시 송파구청,,02-2147-4697,37.52016411,127.112245,2020-02-20
잠실6동주민센터,잠실6동주민센터,잠실,다목적실,공휴일,15:00,17:00,15:00,17:00,N,,,,,15,66,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 올림픽로 35길 120,,서울특별시 송파구청,,02-2147-4730,37.51812027,127.100658,2020-02-20
잠실6동주민센터,잠실6동주민센터,잠실,다목적실,공휴일,15:00,18:00,0:00,0:00,N,,,,,15,36,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 올림픽로 35길 120,,서울특별시 송파구청,,02-2147-4730,37.51812027,127.100658,2020-02-20
잠실6동주민센터,잠실6동주민센터,잠실,회의실,공휴일,18:00,20:00,0:00,0:00,N,,,,,15,66,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 올림픽로 35길 120,,서울특별시 송파구청,,02-2147-4730,37.51812027,127.100658,2020-02-20
잠실7동주민센터,잠실7동주민센터,잠실,다목적실,공휴일,14:00,16:00,0:00,0:00,N,,,,,50,53,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 올림픽로4길 17,,서울특별시 송파구청,,02-2147-4758,37.508633,127.0766203,2020-02-20
잠실7동주민센터,잠실7동주민센터,잠실,다목적실,공휴일,9:00,11:00,0:00,0:00,N,,,,,50,53,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 올림픽로4길 17,,서울특별시 송파구청,,02-2147-4758,37.508633,127.0766203,2020-02-20
장지동주민센터,장지동주민센터,장지,강의실,공휴일,18:00,21:00,0:00,0:00,Y,2,"10,000",,,15,41,"책상,의자",전화문의,,서울특별시 송파구 새말로19길6,,서울특별시 송파구청,,02-2147-4579,37.486937,127.132457,2020-02-20
풍납1동주민센터,풍납1동주민센터,풍납,다목적실,공휴일,15:00,22:00,10:00,19:00,N,,,,,70,79,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 천호대로152길 7,,서울특별시 송파구청,,02-2147-4007,37.5380312,127.122034,2020-02-20
풍납1동주민센터,풍납1동주민센터,풍납,다목적실,공휴일,12:00,22:00,10:00,19:00,N,,,,,50,92,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 천호대로152길 7,,서울특별시 송파구청,,02-2147-4007,37.5380312,127.122034,2020-02-20
풍납1동주민센터,풍납1동주민센터,풍납,기타,공휴일,16:00,22:00,10:00,14:00,N,,,,,70,56,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 천호대로152길 7,,서울특별시 송파구청,,02-2147-4007,37.5380312,127.122034,2020-02-20
풍납2동주민센터,풍납2동주민센터,풍납,다목적실,공휴일,18:30,22:00,10:00,14:00,N,,,,,60,96,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 토성로64,,서울특별시 송파구청,,02-2147-4041,37.528737,127.1167553,2020-02-20
풍납2동주민센터,풍납2동주민센터,풍납,기타,공휴일,18:00,22:00,10:00,14:00,N,,,,,70,69,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 토성로64,,서울특별시 송파구청,,02-2147-4041,37.528737,127.1167553,2020-02-20
금호1가동 주민센터,금호1가동 주민센터,금호,기타,토+일,13:00,21:00,0:00,0:00,Y,2,20000,1,10000,15,68,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 127-2,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,37.55485999,127.0216494,2022-11-23
금호1가동 주민센터,금호1가동 주민센터,금호,다목적실,연중무휴,13:00,22:00,13:00,21:00,Y,2,20000,1,10000,50,273.92,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 127-2,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,37.55485999,127.0216494,2022-11-23
금호1가동 주민센터,금호1가동 주민센터,금호,기타,토+일,13:00,17:00,0:00,0:00,Y,2,20000,1,10000,10,71,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 127-2,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,37.55485999,127.0216494,2022-11-23
금호1가동 주민센터,금호1가동 주민센터,금호,회의실,일,10:00,18:00,10:00,18:00,Y,2,20000,1,10000,30,86,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 101,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,37.55485999,127.0216494,2022-11-23
금호1가동 주민센터,금호1가동 주민센터,금호,기타,토+일,13:00,21:00,0:00,0:00,Y,2,20000,1,10000,30,125,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 101,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,37.55485999,127.0216494,2022-11-23
금호2-3가동 자치회관 3층 다목적방,금호2-3가동 주민센터,금호,다목적실,일+공휴일,9:00,18:00,9:00,18:00,Y,2,20000,1,10000,60,207.9,,인터넷 예약,,서울특별시 성동구 금호동2가 무수막18길 1,서울특별시 성동구 금호동2가 1212,서울특별시 성동구청,금호2-3가동 주민센터,02-2286-7364,37.553239,127.0209111,2022-11-23
